seq,algo_id,algo
0,124,수학
1,25,다이나믹 프로그래밍
2,102,구현
3,7,그래프 이론
4,175,자료 구조
5,33,그리디 알고리즘
6,158,문자열
7,11,그래프 탐색
8,125,브루트포스 알고리즘
9,65,세그먼트 트리
10,120,트리
11,97,정렬
12,12,이분 탐색
13,100,기하학
14,95,정수론
15,126,너비 우선 탐색
16,6,조합론
17,121,사칙연산
18,139,누적 합
19,127,깊이 우선 탐색
20,22,다익스트라
21,141,시뮬레이션
22,14,비트마스킹
23,81,분리 집합
24,5,백트래킹
25,24,분할 정복
26,109,애드 혹
27,128,구성적
28,106,스위핑
29,92,트리에서의 다이나믹 프로그래밍
30,45,최대 유량
31,71,스택
32,59,우선순위 큐
33,137,Case work
34,96,파싱
35,66,느리게 갱신되는 세그먼트 트리
36,80,두 포인터
37,87,비트필드를 이용한 다이나믹 프로그래밍
38,74,트리를 사용한 집합과 맵
39,9,소수 판정
40,140,게임 이론
41,39,분할 정복을 이용한 거듭제곱
42,123,오프라인 쿼리
43,13,이분 매칭
44,49,최소 스패닝 트리
45,117,임의 정밀도 / 큰 수 연산
46,41,최소 공통 조상
47,62,재귀
48,8,해싱
49,67,에라토스테네스의 체
50,76,강한 연결 요소
51,136,해시를 사용한 집합과 맵
52,31,플로이드–와샬
53,28,고속 푸리에 변환
54,78,위상 정렬
55,20,볼록 껍질
56,144,선형대수학
57,79,트라이
58,38,포함 배제의 원리
59,161,값 / 좌표 압축
60,89,볼록 껍질을 이용한 최적화
61,40,KMP
62,48,최소 비용 최대 유량
63,77,접미사 배열과 LCP 배열
64,130,제곱근 분할법
65,148,배낭 문제
66,84,희소 배열
67,73,덱
68,70,스프라그–그런디 정리
69,169,작은 집합에서 큰 집합으로 합치는 테크닉
70,177,확률론
71,26,유클리드 호제법
72,35,Heavy-light 분할
73,42,선분 교차 판정
74,43,가장 긴 증가하는 부분 수열: O(n log n)
75,46,중간에서 만나기
76,172,런타임 전의 전처리
77,170,매개 변수 탐색
78,150,오일러 경로 테크닉
79,1,2-SAT
80,18,센트로이드 분할
81,115,무작위화
82,68,슬라이딩 윈도우
83,111,미적분학
84,142,휴리스틱
85,32,가우스 소거법
86,55,퍼시스턴트 세그먼트 트리
87,101,삼분 탐색
88,167,최대 유량 최소 컷 정리
89,131,3차원 기하학
90,4,단절점과 단절선
91,143,선인장
92,72,큐
93,93,오일러 경로
94,91,분할 정복을 사용한 최적화
95,152,비트 집합
96,19,중국인의 나머지 정리
97,50,Mo's
98,54,병렬 이분 탐색
99,119,오일러 지표 (χ=V-E+F)
100,10,벨만–포드
101,69,스플레이 트리
102,166,다차원 세그먼트 트리
103,168,평면 그래프
104,2,아호-코라식
105,110,벌래캠프–매시
106,171,순열 사이클 분할
107,27,확장 유클리드 호제법
108,64,회전하는 캘리퍼스
109,116,물리학
110,155,머지 소트 트리
111,29,페르마의 소정리
112,61,라빈–카프
113,153,이중 연결 요소
114,51,뫼비우스 반전 공식
115,63,정규 표현식
116,98,링크/컷 트리
117,107,커넥션 프로파일을 이용한 다이나믹 프로그래밍
118,108,덱을 이용한 다이나믹 프로그래밍
119,44,매내처
120,151,오일러 피 함수
121,176,0-1 너비 우선 탐색
122,56,볼록 다각형 내부의 점 판정
123,122,수치해석
124,138,외판원 순회 문제
125,157,함수 개형을 이용한 최적화
126,154,연결 리스트
127,134,Alien 트릭
128,156,인터프리터
129,3,다각형의 넓이
130,52,오프라인 동적 연결성 판정
131,58,폴라드 로
132,103,선형 계획법
133,16,번사이드 보조정리
134,47,밀러–라빈 소수 판별법
135,57,오목 다각형 내부의 점 판정
136,145,트리 동형 사상
137,164,모듈로 곱셈 역원
138,179,기댓값의 선형성
139,34,홀의 결혼 정리
140,36,헝가리안
141,112,키타마사
142,146,이산 로그
143,162,최소 외접원
144,60,피타고라스 정리
145,83,Z
146,135,도미네이터 트리
147,165,단조 큐를 이용한 최적화
148,180,쌍대성
149,15,일반적인 매칭
150,53,회문 트리
151,75,스토어–바그너
152,90,크누스 최적화
153,104,매트로이드
154,113,뤼카 정리
155,181,쌍대 그래프
156,129,양방향 탐색
157,23,유향 최소 신장 트리
158,82,보로노이 다이어그램
159,147,이산 제곱근
160,160,보이어–무어 다수결 투표
161,163,히르쉬버그
162,178,통계학
163,21,델로네 삼각분할
164,132,4차원 이상의 기하학
165,159,로프
166,173,춤추는 링크
167,174,크누스 X
168,182,접미사 트리
169,94,레드-블랙 트리
170,105,탑 트리
171,149,이산 k제곱근
