seq,problem_seq,algo_seq,number,algo_id
0,0,0,1000,124
1,1,0,1001,124
2,2,0,10998,124
3,3,0,10869,124
4,4,0,1008,124
5,5,0,2739,124
6,6,0,10430,124
7,7,0,8393,124
8,8,0,10871,124
9,9,0,1330,124
10,10,0,10950,124
11,11,0,2753,124
12,12,0,1110,124
13,13,0,2588,124
14,14,0,10952,124
15,15,0,2884,124
16,16,0,11720,124
17,17,0,2577,124
18,18,0,11021,124
19,19,0,2839,124
20,20,0,11022,124
21,21,0,10951,124
22,22,0,15552,124
23,23,0,1546,124
24,24,0,10818,124
25,25,0,2558,124
26,26,0,4344,124
27,27,0,4673,124
28,28,0,3052,124
29,29,0,10039,124
30,30,0,10872,124
31,31,0,1978,124
32,32,0,2292,124
33,33,0,15596,124
34,34,0,1712,124
35,35,0,1929,124
36,36,0,10250,124
37,37,0,1193,124
38,38,0,10870,124
39,39,0,2869,124
40,40,0,2609,124
41,41,0,2748,124
42,42,0,1085,124
43,43,0,5543,124
44,44,0,2775,124
45,45,0,1002,124
46,46,0,2581,124
47,47,0,2747,124
48,48,0,9461,124
49,49,0,10953,124
50,50,0,1934,124
51,51,0,1010,124
52,52,0,4948,124
53,53,0,1011,124
54,54,0,2163,124
55,55,0,2475,124
56,56,0,6603,124
57,57,0,4153,124
58,58,0,11050,124
59,59,0,11653,124
60,60,0,2455,124
61,61,0,1476,124
62,62,0,1037,124
63,63,0,3046,124
64,64,0,9020,124
65,65,0,13458,124
66,66,0,3053,124
67,67,0,1759,124
68,68,0,1541,124
69,69,0,1094,124
70,70,0,1676,124
71,71,0,1699,124
72,72,0,2217,124
73,73,0,10757,124
74,74,0,11051,124
75,75,0,1009,124
76,76,0,2525,124
77,77,0,1629,124
78,78,0,2576,124
79,79,0,6588,124
80,80,0,1977,124
81,81,0,2914,124
82,82,0,6064,124
83,83,0,5565,124
84,84,0,10610,124
85,85,0,2953,124
86,86,0,5086,124
87,87,0,2960,124
88,88,0,10886,124
89,89,0,1550,124
90,90,0,2875,124
91,91,0,9613,124
92,92,0,1057,124
93,93,0,1212,124
94,94,0,2010,124
95,95,0,2480,124
96,96,0,10156,124
97,97,0,2420,124
98,98,0,2845,124
99,99,0,2004,124
100,100,0,1373,124
101,101,0,10972,124
102,102,0,2530,124
103,103,0,10162,124
104,104,0,9655,124
105,105,0,1789,124
106,106,0,1735,124
107,107,0,1292,124
108,108,0,2749,124
109,109,0,6359,124
110,110,0,3036,124
111,111,0,1644,124
112,112,0,1748,124
113,113,0,1075,124
114,114,0,10833,124
115,115,0,2501,124
116,116,0,2740,124
117,117,0,2506,124
118,118,0,5063,124
119,119,0,5554,124
120,120,0,5532,124
121,121,0,2745,124
122,122,0,3003,124
123,123,0,10448,124
124,124,0,15953,124
125,125,0,2965,124
126,126,0,1963,124
127,127,0,4101,124
128,128,0,2587,124
129,129,0,2864,124
130,130,0,1049,124
131,131,0,9085,124
132,132,0,10973,124
133,133,0,9375,124
134,134,0,5522,124
135,135,0,1016,124
136,136,0,2460,124
137,137,0,2407,124
138,138,0,1850,124
139,139,0,10707,124
140,140,0,10164,124
141,141,0,4796,124
142,142,0,15894,124
143,143,0,5596,124
144,144,0,2476,124
145,145,0,16394,124
146,146,0,2935,124
147,147,0,2592,124
148,148,0,13300,124
149,149,0,9325,124
150,150,0,11401,124
151,151,0,5988,124
152,152,0,15969,124
153,153,0,3460,124
154,154,0,10830,124
155,155,0,2754,124
156,156,0,16430,124
157,157,0,10984,124
158,158,0,15740,124
159,159,0,13241,124
160,160,0,15964,124
161,161,0,2981,124
162,162,0,1072,124
163,163,0,10214,124
164,164,0,4504,124
165,165,0,1271,124
166,166,0,1964,124
167,167,0,11382,124
168,168,0,9506,124
169,169,0,1267,124
170,170,0,1297,124
171,171,0,12790,124
172,172,0,11576,124
173,173,0,10569,124
174,174,0,3034,124
175,175,0,1024,124
176,176,0,1834,124
177,177,0,5218,124
178,178,0,10103,124
179,179,0,2338,124
180,180,0,3058,124
181,181,0,5717,124
182,182,0,2355,124
183,183,0,1225,124
184,184,0,5032,124
185,185,0,10822,124
186,186,0,10157,124
187,187,0,2738,124
188,188,0,2903,124
189,189,0,18108,124
190,190,0,1256,124
191,191,0,2089,124
192,192,0,2959,124
193,193,0,11816,124
194,194,0,11966,124
195,195,0,9610,124
196,196,0,10158,124
197,197,0,10539,124
198,198,0,2921,124
199,199,0,15727,124
200,200,0,8320,124
201,201,0,1722,124
202,202,0,14652,124
203,203,0,10178,124
204,204,0,1747,124
205,205,0,2502,124
206,206,0,5575,124
207,207,0,5355,124
208,208,0,2720,124
209,209,0,7572,124
210,210,0,2702,124
211,211,0,5361,124
212,212,0,1408,124
213,213,0,2783,124
214,214,0,11006,124
215,215,0,1019,124
216,216,0,17362,124
217,217,0,5618,124
218,218,0,13277,124
219,219,0,1592,124
220,220,0,2621,124
221,221,0,2014,124
222,222,0,14490,124
223,223,0,11023,124
224,224,0,9550,124
225,225,0,1526,124
226,226,0,17256,124
227,227,0,16673,124
228,228,0,1328,124
229,229,0,3062,124
230,230,0,1252,124
231,231,0,2436,124
232,232,0,2858,124
233,233,0,1350,124
234,234,0,5347,124
235,235,0,14916,124
236,236,0,10409,124
237,237,0,11944,124
238,238,0,2312,124
239,239,0,6378,124
240,240,0,3004,124
241,241,0,2998,124
242,242,0,11444,124
243,243,0,5533,124
244,244,0,2863,124
245,245,0,17496,124
246,246,0,5054,124
247,247,0,8741,124
248,248,0,10179,124
249,249,0,2153,124
250,250,0,15954,124
251,251,0,5073,124
252,252,0,2985,124
253,253,0,14489,124
254,254,0,2997,124
255,255,0,15439,124
256,256,0,3049,124
257,257,0,1188,124
258,258,0,15353,124
259,259,0,10474,124
260,260,0,4880,124
261,261,0,2485,124
262,262,0,1551,124
263,263,0,10253,124
264,264,0,16486,124
265,265,0,2484,124
266,266,0,1788,124
267,267,0,14924,124
268,268,0,1598,124
269,269,0,15873,124
270,270,0,16395,124
271,271,0,4299,124
272,272,0,6591,124
273,273,0,10837,124
274,274,0,10166,124
275,275,0,1356,124
276,276,0,13900,124
277,277,0,15667,124
278,278,0,16431,124
279,279,0,8370,124
280,280,0,1007,124
281,281,0,10823,124
282,282,0,1059,124
283,283,0,4766,124
284,284,0,17087,124
285,285,0,2399,124
286,286,0,5613,124
287,287,0,1837,124
288,288,0,2033,124
289,289,0,15780,124
290,290,0,6376,124
291,291,0,10834,124
292,292,0,11502,124
293,293,0,1017,124
294,294,0,17173,124
295,295,0,14928,124
296,296,0,11689,124
297,297,0,10419,124
298,298,0,13866,124
299,299,0,6749,124
300,300,0,5724,124
301,301,0,1790,124
302,302,0,16561,124
303,303,0,2755,124
304,304,0,9546,124
305,305,0,10422,124
306,306,0,7510,124
307,307,0,9094,124
308,308,0,1952,124
309,309,0,11024,124
310,310,0,14470,124
