id,algo_id,algo_name_kr,algo_name_en,algo_url,algo_cnt
0,124,수학,Mathematics,/problem/tag/124,2227
1,25,다이나믹 프로그래밍,Dynamic programming,/problem/tag/25,1676
2,102,구현,Implementation,/problem/tag/102,1591
3,7,그래프 이론,Graph theory,/problem/tag/7,1505
4,175,자료 구조,Data structures,/problem/tag/175,1366
5,33,그리디 알고리즘,Greedy,/problem/tag/33,767
6,11,그래프 탐색,Graph traversal,/problem/tag/11,750
7,158,문자열,String,/problem/tag/158,750
8,125,브루트포스 알고리즘,Bruteforcing,/problem/tag/125,609
9,65,세그먼트 트리,Segment tree,/problem/tag/65,589
10,120,트리,Tree,/problem/tag/120,551
11,97,정렬,Sorting,/problem/tag/97,534
12,12,이분 탐색,Binary search,/problem/tag/12,519
13,100,기하학,Geometry,/problem/tag/100,495
14,95,정수론,Number theory,/problem/tag/95,462
15,126,너비 우선 탐색,Breadth-first search,/problem/tag/126,392
16,6,조합론,Combinatorics,/problem/tag/6,286
17,121,사칙연산,Arithmetic,/problem/tag/121,276
18,127,깊이 우선 탐색,Depth-first search,/problem/tag/127,268
19,139,누적 합,Prefix sum,/problem/tag/139,265
20,22,다익스트라,Dijkstra's,/problem/tag/22,244
21,141,시뮬레이션,Simulation,/problem/tag/141,237
22,14,비트마스킹,Bitmask,/problem/tag/14,236
23,81,분리 집합,Disjoint set,/problem/tag/81,214
24,5,백트래킹,Backtracking,/problem/tag/5,208
25,24,분할 정복,Divide and conquer,/problem/tag/24,201
26,128,구성적,Constructive,/problem/tag/128,194
27,109,애드 혹,Ad-Hoc,/problem/tag/109,193
28,106,스위핑,Sweeping,/problem/tag/106,168
29,92,트리에서의 다이나믹 프로그래밍,Dynamic programming on trees,/problem/tag/92,154
30,45,최대 유량,Maximum flow,/problem/tag/45,153
31,71,스택,Stack,/problem/tag/71,146
32,96,파싱,Parsing,/problem/tag/96,139
33,59,우선순위 큐,Priority queue,/problem/tag/59,138
34,137,Case work,Case work,/problem/tag/137,138
35,66,느리게 갱신되는 세그먼트 트리,Segment tree with lazy propagation,/problem/tag/66,133
36,80,두 포인터,Two-pointer,/problem/tag/80,130
37,87,비트필드를 이용한 다이나믹 프로그래밍,Dynamic programming using bitfield,/problem/tag/87,125
38,9,소수 판정,Primality test,/problem/tag/9,118
39,74,트리를 사용한 집합과 맵,Set / Map by trees,/problem/tag/74,118
40,140,게임 이론,Game theory,/problem/tag/140,116
41,39,분할 정복을 이용한 거듭제곱,Exponentiation by squaring,/problem/tag/39,112
42,123,오프라인 쿼리,Offline queries,/problem/tag/123,110
43,13,이분 매칭,Bipartite matching,/problem/tag/13,100
44,49,최소 스패닝 트리,Minimum spanning tree,/problem/tag/49,95
45,117,임의 정밀도 / 큰 수 연산,Arbitrary precision / Big integers,/problem/tag/117,93
46,41,최소 공통 조상,Lowest common ancestor,/problem/tag/41,89
47,62,재귀,Recursion,/problem/tag/62,83
48,67,에라토스테네스의 체,Sieve of Eratosthenes,/problem/tag/67,83
49,8,해싱,Hashing,/problem/tag/8,82
50,76,강한 연결 요소,Strongly connected component,/problem/tag/76,82
51,136,해시를 사용한 집합과 맵,Set / Map by hashing,/problem/tag/136,76
52,31,플로이드–와샬,Floyd–Warshall,/problem/tag/31,74
53,78,위상 정렬,Topological sorting,/problem/tag/78,73
54,20,볼록 껍질,Convex hull,/problem/tag/20,71
55,144,선형대수학,Linear algebra,/problem/tag/144,71
56,28,고속 푸리에 변환,Fast Fourier transform,/problem/tag/28,69
57,79,트라이,Trie,/problem/tag/79,66
58,38,포함 배제의 원리,Inclusion and exclusion,/problem/tag/38,61
59,161,값 / 좌표 압축,Value / coordinate compression,/problem/tag/161,56
60,89,볼록 껍질을 이용한 최적화,Convex hull trick,/problem/tag/89,54
