id,algo_name,problem_id,problem_name,problem_correct_people_cnt,problem_submission,problem_correct_rate
0,수학,1000,A+B,116862,376603,43.804%
1,수학,1001,A-B,96081,157469,72.061%
2,수학,10998,A×B,68457,96583,78.345%
3,수학,10869,사칙연산,67758,148019,52.639%
4,수학,1008,A/B,66675,245100,33.454%
5,수학,2739,구구단,66438,148111,52.864%
6,수학,10430,나머지,62816,124026,57.375%
7,수학,8393,합,57559,96518,68.456%
8,수학,10871,X보다 작은 수,50083,106624,55.954%
9,수학,1330,두 수 비교하기,48779,112908,51.979%
10,수학,10950,A+B - 3,46954,92688,58.982%
11,수학,2753,윤년,44856,92803,55.171%
12,수학,1110,더하기 사이클,43822,109557,48.102%
13,수학,2588,곱셈,42343,96070,51.498%
14,수학,10952,A+B - 5,40920,88781,53.124%
15,수학,2884,알람 시계,40313,123182,39.180%
16,수학,11720,숫자의 합,40289,93474,51.936%
17,수학,2577,숫자의 개수,40060,79013,60.546%
18,수학,11021,A+B - 7,38543,81889,52.902%
19,수학,2839,설탕 배달,38524,153992,32.820%
20,수학,11022,A+B - 8,37561,58141,71.189%
21,수학,10951,A+B - 4,36645,122341,35.916%
22,수학,15552,빠른 A+B,36589,96359,46.888%
23,수학,1546,평균,36295,88226,48.920%
24,수학,10818,"최소, 최대",35730,103610,43.853%
25,수학,2558,A+B - 2,34858,53008,74.567%
26,수학,4344,평균은 넘겠지,33239,106094,37.361%
27,수학,4673,셀프 넘버,28935,71770,50.294%
28,수학,3052,나머지,27553,52238,60.913%
29,수학,10039,평균 점수,26533,45962,65.402%
30,수학,10872,팩토리얼,26011,64014,48.387%
31,수학,1978,소수 찾기,25588,66132,48.234%
32,수학,2292,벌집,22911,57773,45.820%
33,수학,15596,정수 N개의 합,20442,46011,51.980%
34,수학,1712,손익분기점,20082,98926,23.681%
35,수학,1929,소수 구하기,18812,93981,27.375%
36,수학,10250,ACM 호텔,18715,62051,34.613%
37,수학,1193,분수찾기,18410,42869,51.763%
38,수학,2869,달팽이는 올라가고 싶다,17772,83614,26.818%
39,수학,2609,최대공약수와 최소공배수,17762,36313,62.703%
40,수학,10870,피보나치 수 5,17754,30956,65.554%
41,수학,2748,피보나치 수 2,17524,54372,38.723%
42,수학,1085,직사각형에서 탈출,17127,33118,58.099%
43,수학,5543,상근날드,16972,29070,65.521%
44,수학,2775,부녀회장이 될테야,16286,32979,57.650%
45,수학,1002,터렛,15996,105117,20.526%
46,수학,2581,소수,15625,46047,39.422%
47,수학,2747,피보나치 수,15278,40541,47.668%
48,수학,9461,파도반 수열,14907,43162,40.509%
49,수학,10953,A+B - 6,13297,23089,66.207%
50,수학,1934,최소공배수,12619,25681,59.707%
51,수학,4948,베르트랑 공준,11916,34212,43.487%
52,수학,1010,다리 놓기,11900,32108,48.565%
53,수학,1011,Fly me to the Alpha Centauri,11761,52780,29.471%
54,수학,2163,초콜릿 자르기,11361,18649,71.305%
55,수학,6603,로또,11105,29983,54.131%
56,수학,2475,검증수,11021,16098,77.564%
57,수학,4153,직각삼각형,10894,22179,54.194%
58,수학,11050,이항 계수 1,10686,19181,64.811%
59,수학,11653,소인수분해,10524,24572,53.623%
60,수학,2455,지능형 기차,10488,16283,76.846%
61,수학,1476,날짜 계산,10279,19358,67.372%
62,수학,1037,약수,10076,23562,49.785%
63,수학,9020,골드바흐의 추측,9993,29431,42.850%
64,수학,3046,R2,9989,13029,83.548%
65,수학,13458,시험 감독,9889,50329,26.068%
66,수학,3053,택시 기하학,9599,27018,40.605%
67,수학,1094,막대기,9144,14627,74.005%
68,수학,1541,잃어버린 괄호,9126,23688,47.933%
69,수학,1759,암호 만들기,9086,28121,44.690%
70,수학,1676,팩토리얼 0의 개수,9067,23176,47.608%
71,수학,1699,제곱수의 합,8954,30088,39.914%
72,수학,2217,로프,8603,24604,42.801%
73,수학,10757,큰 수 A+B,8121,20956,49.503%
74,수학,11051,이항 계수 2,8025,27245,38.489%
75,수학,1009,분산처리,7977,42680,25.394%
76,수학,2525,오븐 시계,6770,16864,46.603%
77,수학,1629,곱셈,6743,35814,25.375%
78,수학,6588,골드바흐의 추측,6655,35749,25.832%
79,수학,2576,홀수,6651,14539,53.754%
80,수학,1977,완전제곱수,6576,15598,47.133%
81,수학,6064,카잉 달력,6456,37162,23.981%
82,수학,2914,저작권,6450,8571,81.697%
83,수학,5565,영수증,6330,7697,88.581%
84,수학,10610,30,6240,21656,36.419%
