id,user,correct_cnt
0,koosaga,8842
1,dotorya,7486
2,xiaowuc1,6246
3,cki86201,5900
4,portableangel,5771
5,chogahui05,5110
6,jh05013,4845
7,kyo20111,4134
8,jhnah917,4026
9,ainta,3989
10,snrnsidy,3895
11,cheetose,3871
12,h0ngjun7,3831
13,jjwdi0,3826
14,kajebiii,3764
15,thenitromefan,3740
16,zych1751,3582
17,scvhero,3491
18,YunGoon,3438
19,Green55,3374
20,semteo04,3264
21,august14,3236
22,kks227,3225
23,rkm0959,3213
24,subinium,3201
25,pichulia,3194
26,hellogaon,3090
27,kesakiyo,3081
28,goooora,3078
29,ntopia,2982
30,palilo,2959
31,ae04071,2888
32,jinhan814,2795
33,Juno,2742
34,hyakintoss,2731
35,citizen,2726
36,baactree,2703
37,adh0463,2687
38,shareshate,2657
39,doju,2643
40,alex9801,2594
41,yclock,2586
42,shiftpsh,2584
43,3587jjh,2550
44,khj94811,2538
45,jwvg0425,2533
46,movie_jo,2513
47,rdd6584,2512
48,Nada,2499
49,djm03178,2483
50,sait2000,2408
51,compilers,2374
52,wowoto9772,2353
53,sebinkim,2347
54,jame0313,2329
55,exponential_e,2324
56,kjp4155,2318
57,tony9402,2295
58,kdh9949,2289
59,tpdnjs94,2238
60,MenOfPassion,2237
61,klimmek55,2232
62,Lawali,2166
63,yys11631,2157
64,lastknight00,2147
65,edenooo,2139
66,cokcjswo,2104
67,dtc03012,2100
68,jason9319,2055
69,dwax1324,2054
70,joonas,2015
71,gktgnjftm,2013
72,juseong,1981
73,kipa00,1974
74,jsa3824,1971
75,singun11,1969
76,ho94949,1962
77,lobo_prix,1961
78,yooshnn,1959
79,tnsgh9603,1944
80,shmallow,1936
81,unused,1929
82,WeissBlume,1915
83,csehydrogen,1911
84,qja0950,1903
85,yukariko,1903
86,lky7674,1868
87,fromis_9,1838
88,orihehe,1828
89,newdeal,1826
90,raararaara,1826
91,sujin,1815
92,dlwocks31,1813
93,bupjae,1810
94,ruz,1809
95,tkdgns685,1807
96,happiness96,1801
97,evenharder,1783
98,myungwoo,1777
99,cs71107,1770
100,solarmagic,1759
101,gumgood,1747
102,clrmt,1731
103,uk7880,1730
104,tncks0121,1722
105,gojib2002,1719
106,semteo,1711
107,kcm1700,1704
108,zigui,1701
109,ehdrmsl2001,1696
110,imsehwan,1695
111,gunwookim,1687
112,edecudo,1682
113,exqt,1682
114,songuno1,1680
115,onjo0127,1676
116,tjrwodnjs999,1642
117,myungum,1640
118,ks9509,1628
119,BaaaaaaaaaaarkingDog,1615
120,Apple_Cplus,1596
121,milkclouds,1595
122,lyzqm,1593
123,kimchist,1592
124,malratz,1572
125,sys7961,1553
126,functionx,1543
127,hello70825,1542
128,jeong,1541
129,leecs0503,1540
130,sunhong,1532
131,spectaclehong,1524
132,denniskim,1510
133,pch6828,1503
134,malkoring,1497
135,sslktong,1494
136,hyo123bin,1489
137,minchae2930,1488
138,kth,1488
139,mksmk606,1482
140,san9407,1479
141,young920503,1477
142,krhyunsoo,1474
143,hithere314,1474
144,kazel,1474
145,anjupiter,1468
146,namnamseo,1467
147,jaehoo1,1464
148,cgiosy,1447
149,ainch96,1440
150,ksj614,1430
151,inhau,1421
152,gratus907,1407
153,ganghe74,1401
154,pps789,1395
155,djs100201,1392
156,njchung99,1391
157,kohandy,1386
158,imeimi2000,1382
159,201023777,1380
160,kdr06006,1379
161,hibye1217,1374
162,seuha516,1374
163,dofwk1526,1370
164,Acka,1370
165,jthis,1369
166,comseung18,1366
167,ik_e,1366
168,wlxyzlw,1365
169,lety,1362
170,njw1204,1349
171,iknoom1107,1346
172,lakshimi,1344
173,choiking10,1343
174,usj0119,1342
175,ploffer11,1338
176,sbjwin,1335
177,eaststar,1334
178,iljimae,1333
179,faang12594,1331
180,dlftls38,1331
181,sm970124,1330
182,ggj06281,1320
183,qwe123rt45,1320
184,dogdriip,1320
185,kimhunsu96,1320
186,riew610,1320
187,hyunynim,1318
188,sogangcse,1318
189,y305205,1315
190,zagabi,1313
191,devbelly,1313
192,bakpark,1306
193,ekwoo,1305
194,khsoo01,1302
195,henry1214,1301
196,fbdp1202,1300
197,drwolf1999,1300
198,wbcho0504,1297
199,p_0,1291
200,sky1357,1289
201,wjdtmdrbs88,1289
202,degurii,1282
203,dlwodnsdl,1282
204,TAMREF,1282
205,wjdclgns12,1282
206,wkd48632,1275
207,petil777,1272
208,yongjun18,1269
209,jooncco,1265
210,kookmin20103324,1264
211,ychangseok,1261
212,luckydyu,1253
213,sw6448,1253
214,cprayer,1251
215,upple1,1251
216,79brue,1249
217,windflower,1248
218,gglifer,1248
219,isku,1245
220,Coxie,1242
221,vjerksen,1241
222,waylight3,1235
223,ckdgus2482,1235
224,runnie0427,1231
225,lycka,1230
226,bongssi,1225
227,hongjg3229,1222
228,egod1537,1214
229,f52985,1213
230,mitnegativeinfinity,1203
231,thak00,1203
232,wlsth1004100,1201
233,ksh021144,1200
234,sky0331,1198
235,zxcvber,1195
236,quarter814,1195
237,holenet,1192
238,skcom,1191
239,umrhiumrhi,1186
240,p_ce1052,1186
241,jung2381187,1185
242,jmkk27,1184
243,chiller123,1184
244,king7282,1174
245,puzzledpublic,1173
246,kkw564,1172
247,jihoon,1171
248,minjun623,1169
249,scw1130,1169
250,tlsdydaud1,1166
251,game2k,1165
252,oldos,1164
253,baekjoon,1164
254,deuslovelt,1162
255,algoshipda,1159
256,poketred12,1158
257,kimjihoon,1156
258,busyhuman,1154
259,junie,1153
260,bone,1152
261,rlaeogh89,1151
262,choyi0521,1150
263,kalmiaa,1149
264,dlstj0923,1147
265,putdata,1146
266,grands,1146
267,david9224,1145
268,rubix,1144
269,pjh9996,1144
270,jh20s,1143
271,hihihi,1141
272,hahaha,1136
273,dlfgh159,1134
274,pazu0522,1132
275,chan4928,1131
276,bsyun0571,1131
277,huisleee,1129
278,gyuho965,1129
279,dw1028,1127
280,pjshwa,1127
281,cea,1125
282,flflds0811,1124
283,mjhmjh1104,1123
284,seojeongwook2,1121
285,wookje,1120
286,18sht1710,1119
