seq,number,name,algorithm,algorithm_id,information,correct_user,submission_cnt,correct_rate,level,avg_try,time_limit,memory_limit
0,1000,A+B,"수학,구현,사칙연산","124,102,121","다국어,디버그,분류",118169,381174,43.753,1,2.29,2 초,128 MB
1,1001,A-B,"수학,구현,사칙연산","124,102,121","디버그,분류",97109,159168,72.04899999999999,1,1.39,2 초,128 MB
2,10998,A×B,"수학,구현,사칙연산","124,102,121","디버그,분류",69367,97906,78.35600000000001,1,1.28,1 초,256 MB
3,10869,사칙연산,"수학,구현,사칙연산","124,102,121","디버그,분류",68791,150720,52.485,1,1.9,1 초,256 MB
4,1008,A/B,"수학,구현,사칙연산","124,102,121","스페셜 저지,분류",67564,248349,33.473,2,2.99,2 초,128 MB
5,2739,구구단,"수학,구현,사칙연산","124,102,121","디버그,분류",67158,149829,52.839,3,1.89,1 초,128 MB
6,10430,나머지,"수학,구현,사칙연산","124,102,121","디버그,분류",63706,126068,57.298,1,1.75,1 초,256 MB
7,8393,합,"수학,구현","124,102","출처,다국어,분류",58154,97631,68.396,1,1.46,1 초,128 MB
8,10871,X보다 작은 수,"수학,구현","124,102",분류,50624,107812,55.946000000000005,3,1.79,1 초,256 MB
9,1330,두 수 비교하기,"수학,구현,사칙연산","124,102,121","디버그,분류",49771,115547,51.905,2,1.93,1 초,512 MB
10,10950,A+B - 3,"수학,구현,사칙연산","124,102,121",분류,47583,94066,58.953,3,1.7,1 초,256 MB
11,2753,윤년,"수학,구현","124,102","디버그,분류",45722,94883,55.053999999999995,2,1.82,1 초,128 MB
12,1110,더하기 사이클,"수학,구현,문자열","124,102,158",분류,44365,111142,48.021,5,2.08,2 초,128 MB
13,2588,곱셈,"수학,사칙연산","124,121","출처,분류",43201,98040,51.528999999999996,2,1.94,1 초,128 MB
14,10952,A+B - 5,"수학,구현,사칙연산","124,102,121",분류,41499,90189,53.098,3,1.88,1 초,256 MB
15,2884,알람 시계,"수학,사칙연산","124,121","출처,다국어,디버그,분류",41047,125543,39.14,3,2.56,1 초,128 MB
16,11720,숫자의 합,"수학,문자열,사칙연산","124,158,121",분류,40659,94143,52.04,4,1.92,1 초,256 MB
17,2577,숫자의 개수,"수학,문자열,사칙연산","124,158,121","출처,분류",40530,79995,60.556999999999995,4,1.65,1 초,128 MB
18,11021,A+B - 7,"수학,구현,사칙연산","124,102,121",분류,39070,83192,52.821999999999996,3,1.89,1 초,256 MB
19,2839,설탕 배달,"수학,다이나믹 프로그래밍,그리디 알고리즘","124,25,33","출처,다국어,디버그,분류",38861,155184,32.868,5,3.04,1 초,128 MB
20,11022,A+B - 8,"수학,구현,사칙연산","124,102,121",분류,38071,59016,71.199,3,1.4,1 초,256 MB
21,10951,A+B - 4,"수학,구현,사칙연산","124,102,121",분류,37151,123999,35.899,3,2.79,1 초,256 MB
22,15552,빠른 A+B,"수학,구현,사칙연산","124,102,121",분류,37056,97596,46.94,4,2.13,1 초  (하단 참고),512 MB
23,1546,평균,"수학,사칙연산","124,121","스페셜 저지,분류",36725,89167,48.973,5,2.04,2 초,128 MB
24,10818,"최소, 최대","수학,구현","124,102",분류,36320,105390,43.816,3,2.28,1 초,256 MB
25,2558,A+B - 2,"수학,구현,사칙연산","124,102,121","디버그,분류",35074,53365,74.556,1,1.34,1 초,128 MB
26,4344,평균은 넘겠지,"수학,사칙연산","124,121","출처,다국어,분류",33605,107374,37.373000000000005,5,2.68,1 초,256 MB
27,4673,셀프 넘버,"수학,구현","124,102","출처,다국어,분류",29207,72518,50.26,5,1.99,1 초,256 MB
28,3052,나머지,"수학,사칙연산","124,121","출처,다국어,분류",27997,53051,60.945,4,1.64,1 초,128 MB
29,10039,평균 점수,"수학,사칙연산","124,121","출처,다국어,분류",26612,46168,65.315,2,1.53,1 초,128 MB
30,10872,팩토리얼,"수학,구현","124,102",분류,26314,64732,48.481,3,2.06,1 초,256 MB
31,1978,소수 찾기,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67",분류,25847,66788,48.24,7,2.07,2 초,128 MB
32,2292,벌집,수학,124,"출처,분류",23168,58493,45.75899999999999,4,2.19,2 초,128 MB
33,15596,정수 N개의 합,"수학,구현,사칙연산","124,102,121","언어 제한,함수 구현,분류",20771,46812,51.948,4,1.92,0.1 초,512 MB
34,1712,손익분기점,수학,124,분류,20381,100425,23.678,2,4.22,0.35 초,128 MB
35,1929,소수 구하기,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67",분류,19024,95074,27.379,9,3.65,2 초,256 MB
36,10250,ACM 호텔,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",18951,62922,34.597,3,2.89,1 초,256 MB
37,1193,분수찾기,"수학,구현","124,102",분류,18611,43382,51.68600000000001,4,1.93,0.5 초 (추가 시간 없음),256 MB
38,10870,피보나치 수 5,"수학,다이나믹 프로그래밍","124,25",분류,18093,31635,65.467,4,1.53,1 초,256 MB
39,2869,달팽이는 올라가고 싶다,수학,124,"출처,다국어,디버그,분류",18043,84595,26.885,5,3.72,0.15 초 (추가 시간 없음)  (하단 참고),128 MB
40,2609,최대공약수와 최소공배수,"수학,정수론,유클리드 호제법","124,95,26","출처,분류",17975,36723,62.766000000000005,6,1.59,1 초,128 MB
41,2748,피보나치 수 2,"수학,다이나믹 프로그래밍","124,25","다국어,디버그,분류",17599,54560,38.754,5,2.58,1 초,128 MB
42,1085,직사각형에서 탈출,"수학,기하학","124,100",분류,17341,33508,58.193000000000005,3,1.72,2 초,128 MB
43,5543,상근날드,"수학,사칙연산","124,121","출처,다국어,분류",17045,29195,65.565,2,1.53,1 초,128 MB
44,2775,부녀회장이 될테야,"수학,조합론","124,6",분류,16466,33334,57.699,4,1.73,1 초,128 MB
45,1002,터렛,"수학,기하학","124,100",분류,16141,105843,20.561999999999998,7,4.86,2 초,128 MB
46,2581,소수,"수학,정수론,소수 판정","124,95,9","출처,디버그,분류",15809,46575,39.448,6,2.53,1 초,128 MB
47,2747,피보나치 수,"수학,구현","124,102",분류,15385,40840,47.666000000000004,3,2.1,1 초 (추가 시간 없음),128 MB
48,9461,파도반 수열,"수학,다이나믹 프로그래밍","124,25","출처,다국어,분류",15037,43516,40.527,8,2.47,1 초,128 MB
49,10953,A+B - 6,"수학,문자열,사칙연산,파싱","124,158,121,96",분류,13374,23222,66.251,4,1.51,1 초,256 MB
50,1934,최소공배수,"수학,정수론,유클리드 호제법","124,95,26",분류,12735,25871,59.778,6,1.67,1 초,128 MB
51,1010,다리 놓기,"수학,다이나믹 프로그래밍,조합론","124,25,6",분류,12052,32538,48.505,6,2.06,0.5 초 (추가 시간 없음),128 MB
52,4948,베르트랑 공준,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67","출처,다국어,분류",12040,34589,43.481,9,2.3,1 초,256 MB
53,1011,Fly me to the Alpha Centauri,수학,124,분류,11891,53343,29.487,10,3.39,2 초,512 MB
54,2163,초콜릿 자르기,"수학,사칙연산","124,121",분류,11467,18874,71.16199999999999,3,1.41,2 초,128 MB
55,2475,검증수,"수학,구현,사칙연산","124,102,121","출처,분류",11247,16445,77.357,1,1.29,1 초,128 MB
56,6603,로또,"수학,조합론,백트래킹,재귀","124,6,5,62","출처,다국어,분류",11191,30204,54.115,9,1.85,1 초,128 MB
57,4153,직각삼각형,"수학,기하학","124,100","출처,다국어,분류",11101,22889,53.648999999999994,3,1.86,1 초,128 MB
58,11050,이항 계수 1,"수학,구현,조합론","124,102,6",분류,10812,19420,64.832,5,1.54,1 초,256 MB
59,11653,소인수분해,"수학,정수론,소수 판정","124,95,9",분류,10732,25036,53.606,7,1.87,1 초,256 MB
60,2455,지능형 기차,"수학,구현,사칙연산","124,102,121","출처,분류",10531,16352,76.813,3,1.3,1 초,128 MB
61,1476,날짜 계산,"수학,구현,정수론,중국인의 나머지 정리","124,102,95,19",분류,10349,19510,67.363,6,1.48,2 초,4 MB
62,1037,약수,"수학,정수론","124,95",분류,10185,23796,49.836000000000006,6,2.01,2 초,512 MB
63,3046,R2,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",10133,13248,83.365,1,1.2,1 초,128 MB
64,9020,골드바흐의 추측,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67","출처,다국어,분류",10104,29787,42.765,10,2.34,2 초,256 MB
65,13458,시험 감독,수학,124,"디버그,분류",9975,50709,26.114,4,3.83,2 초,512 MB
66,3053,택시 기하학,"수학,기하학","124,100","스페셜 저지,출처,다국어,분류",9718,27277,40.7,3,2.46,1 초,128 MB
67,1759,암호 만들기,"수학,브루트포스 알고리즘,조합론,백트래킹","124,125,6,5",분류,9390,28939,44.86600000000001,11,2.23,2 초,128 MB
68,1541,잃어버린 괄호,"수학,그리디 알고리즘,문자열,파싱","124,33,158,96",분류,9300,24170,47.808,9,2.09,2 초,128 MB
69,1094,막대기,"수학,비트마스킹","124,14",분류,9176,14678,74.054,6,1.35,2 초,128 MB
70,1676,팩토리얼 0의 개수,"수학,임의 정밀도 / 큰 수 연산","124,117",분류,9154,23363,47.68,8,2.1,2 초,128 MB
71,1699,제곱수의 합,"수학,다이나믹 프로그래밍,정수론","124,25,95","출처,분류",9024,30302,39.935,8,2.5,2 초,128 MB
72,2217,로프,"수학,그리디 알고리즘,정렬,물리학","124,33,97,116",분류,8701,24876,42.836999999999996,7,2.34,2 초,192 MB
73,10757,큰 수 A+B,"수학,구현,사칙연산,임의 정밀도 / 큰 수 연산","124,102,121,117",분류,8368,21661,49.18600000000001,1,2.03,1 초,256 MB
74,11051,이항 계수 2,"수학,다이나믹 프로그래밍,조합론","124,25,6",분류,8089,27445,38.482,10,2.6,1 초,256 MB
75,1009,분산처리,"수학,구현","124,102",분류,8053,43098,25.36,3,3.94,1 초,128 MB
76,2525,오븐 시계,"수학,사칙연산","124,121","출처,분류",6879,17203,46.339,2,2.16,1 초,128 MB
77,1629,곱셈,"수학,분할 정복을 이용한 거듭제곱","124,39","디버그,분류",6860,36442,25.345,10,3.95,0.5 초 (추가 시간 없음),128 MB
78,2576,홀수,"수학,구현","124,102","출처,분류",6714,14643,53.846000000000004,3,1.86,1 초,128 MB
79,6588,골드바흐의 추측,"수학,정수론,소수 판정,에라토스테네스의 체","124,95,9,67","출처,다국어,분류",6698,36042,25.837,10,3.87,1 초,256 MB
80,1977,완전제곱수,"수학,구현","124,102","출처,분류",6618,15673,47.217,5,2.12,2 초,128 MB
81,2914,저작권,"수학,구현,사칙연산","124,102,121","출처,다국어,분류",6587,8789,81.311,1,1.23,1 초,128 MB
82,6064,카잉 달력,"수학,정수론,중국인의 나머지 정리","124,95,19","출처,다국어,분류",6487,37322,24.014,10,4.16,1 초,256 MB
83,5565,영수증,"수학,구현","124,102","출처,다국어,분류",6370,7750,88.521,3,1.13,1 초,128 MB
