id,name,information,correct_user,submission_cnt,correct_rate
1000,A+B,"다국어,디버그,분류",118169,381174,43.753
1001,A-B,"디버그,분류",97109,159168,72.049
1002,터렛,분류,16141,105843,20.562
1003,피보나치 함수,분류,23293,113982,30.087
1004,어린 왕자,분류,6503,19933,41.555
1005,ACM Craft,분류,5419,42156,22.208
1006,습격자 초라기,분류,800,9281,17.0
1007,벡터 매칭,"스페셜 저지,분류",1092,4428,36.473
1008,A/B,"스페셜 저지,분류",67564,248349,33.473
1009,분산처리,분류,8053,43098,25.36
1010,다리 놓기,분류,12052,32538,48.505
1011,Fly me to the Alpha Centauri,분류,11891,53343,29.487
1012,유기농 배추,분류,17642,69583,35.736
1013,Contact,분류,1440,5612,33.946
1014,컨닝,"출처,다국어,분류",912,4605,40.624
1015,수열 정렬,"스페셜 저지,출처,분류",2371,6480,46.978
1016,제곱 ㄴㄴ 수,"출처,분류",3657,32496,19.781
1017,소수 쌍,"출처,분류",981,6779,20.344
1018,체스판 다시 칠하기,"출처,디버그,분류",13498,36017,46.412
1019,책 페이지,"출처,분류",1733,8863,36.5
1020,디지털 카운터,"출처,분류",251,2145,24.584
1021,회전하는 큐,"출처,분류",7715,18383,52.39
1022,소용돌이 예쁘게 출력하기,"출처,분류",1631,8325,28.449
1023,괄호 문자열,"출처,분류",336,1669,34.675
1024,수열의 합,"출처,분류",2350,12642,24.958
1025,제곱수 찾기,"출처,분류",323,1535,27.773
1026,보물,"출처,분류",12403,24455,62.521
1027,고층 건물,"출처,분류",887,3552,33.662
1028,다이아몬드 광산,"출처,분류",560,3930,25.878
1029,그림 교환,"출처,분류",508,2763,25.605
1030,프렉탈 평면,"출처,분류",258,905,40.566
1031,스타 대결,"출처,분류",215,1936,18.22
1032,명령 프롬프트,분류,7116,16995,50.59
1033,칵테일,분류,232,1649,22.678
1034,램프,분류,611,2478,34.268
1035,조각 움직이기,분류,256,897,44.444
1036,36진수,분류,272,2260,18.541
1037,약수,분류,10185,23796,49.836
1038,감소하는 수,분류,2760,13038,30.273
1039,교환,분류,993,6863,20.208
1040,정수,분류,168,1346,22.888
1041,주사위,분류,1210,6659,22.646
1042,움,분류,41,228,32.54
1043,거짓말,분류,1564,5893,35.789
1044,팀 선발,분류,128,1398,14.302
1045,도로,분류,94,597,21.51
1046,그림자,"스페셜 저지,분류",34,298,21.935
1047,울타리,분류,71,497,29.832
1048,유니콘,분류,74,378,31.76
1049,기타줄,분류,3786,13982,32.265
1050,물약,분류,63,1244,10.032
1051,숫자 정사각형,분류,2944,9511,37.365
1052,물병,분류,573,2168,35.745
1053,팰린드롬 공장,분류,182,780,30.233
1054,팰린드롬 문장,분류,45,266,34.091
1055,끝이없음,분류,63,700,22.662
1056,수,분류,60,625,18.809
1057,토너먼트,분류,5556,12278,55.677
1058,친구,분류,1291,4376,37.205
1059,좋은 구간,분류,1080,5229,25.924
1060,좋은 수,분류,62,679,15.122
1061,삼각형,분류,26,180,24.299
1062,가르침,분류,2900,18057,24.516
1063,킹,분류,1631,6279,32.176
1064,평행사변형,"스페셜 저지,분류",546,2406,30.709
1065,한수,분류,29974,68029,51.984
1066,에이한수,분류,31,91,77.5
1067,이동,분류,403,1973,47.636
1068,트리,분류,4016,21166,25.836
1069,집으로,"스페셜 저지,분류",288,2279,19.539
1070,김지민의 침략,분류,39,224,24.684
1071,소트,분류,259,1425,29.736
1072,게임,분류,2574,17398,21.218
1073,도미노,분류,71,193,49.306
1074,Z,분류,6712,27969,37.026
1075,나누기,분류,4341,9283,55.597
1076,저항,분류,5593,16456,40.019
1077,넓이,"스페셜 저지,분류",52,495,16.938
1078,뒤집음,분류,49,1062,12.727
1079,마피아,분류,271,2180,17.597
1080,행렬,분류,3203,10423,39.171
1081,합,분류,364,2132,37.41
1082,방 번호,분류,314,1634,26.254
1083,소트,분류,356,2068,29.519
1084,방 번호 2,분류,35,533,12.456
1085,직사각형에서 탈출,분류,17341,33508,58.193
1086,박성원,분류,672,4078,23.172
1087,쥐 잡기,"스페셜 저지,분류",145,954,19.648
1088,케이크,"스페셜 저지,분류",60,483,27.273
1089,스타트링크 타워,"스페셜 저지,분류",264,1758,21.711
1090,체커,분류,53,222,48.182
1091,카드 섞기,분류,167,889,33.333
1092,배,분류,1020,6110,25.086
1093,스티커 수집,분류,64,485,18.991
1094,막대기,분류,9176,14678,74.054
1095,마법의 구슬,분류,65,656,22.337
1096,종이 접기,분류,33,248,27.966
1097,마법의 단어,분류,132,531,35.676
1098,쌍둥이 마을,분류,21,217,26.582
1099,알 수 없는 문장,분류,264,1512,28.727
1100,하얀 칸,분류,8113,13997,68.534
1101,스티커 정리 1,분류,32,121,39.506
1102,발전소,분류,1348,8666,22.937
1103,게임,분류,1192,8802,19.09
1104,패턴,분류,15,217,10.714
1105,팔,분류,612,2289,33.37
1106,호텔,분류,383,2015,27.754
1107,리모컨,분류,6752,42560,22.36
1108,검색 엔진,분류,135,959,18.17
1109,섬,분류,56,414,23.045
1110,더하기 사이클,분류,44365,111142,48.021
1111,IQ Test,분류,750,6443,16.674
1112,진법 변환,분류,90,345,32.609
1113,수영장 만들기,분류,436,2223,29.028
1114,통나무 자르기,분류,348,2837,18.59
1115,순열,분류,75,443,42.857
1116,순열 2,분류,19,94,27.941
1117,색칠 1,분류,78,492,25.574
1118,색칠 2,분류,7,27,26.923
1119,그래프,분류,20,93,29.412
1120,문자열,분류,4800,10692,52.574
1121,도형,분류,65,451,23.381
1122,뒤집기,분류,42,448,21.106
1123,셔플,분류,8,28,61.538
1124,언더프라임,분류,629,2094,40.424
