id,name,level,avg_try
1191,게임,0,6.8
1192,장갑,0,3.5
1203,게임,0,20.25
1223,마법의 돌,0,8.0
1224,분수,0,6.33
1228,전쟁,0,4.25
1237,정ㅋ벅ㅋ STANDARD,0,3.15
1249,워드똑똑,0,2.57
1272,특별 노드,0,1.43
1274,커피숍1,0,22.9
1279,내멋대로 주사위,0,2.67
1317,그룹 단어,0,6.54
1319,지민 vs 한수,0,4.5
1329,증가 수열,0,7.5
1349,건축가의 나라,0,2.0
1361,두 스트링 마스크,0,1.86
1363,트리,0,2.0
1366,기타 코드,0,3.33
1367,타브 악보,0,5.0
1378,증가 수열,0,18.33
1387,배열 교환,0,3.0
1397,인화철도 구구칠,0,18.6
1401,요컨대 형택이의 사탕봉지,0,1.6
1423,원숭이 키우기,0,4.06
1428,다각형의 개수,0,6.29
1429,결혼,0,3.14
1435,네 점,0,8.78
1447,보호 천막,0,4.0
1452,숌 크로스워드,0,1.5
1454,세비 게임,0,5.75
1458,종이 겹치기,0,1.0
1460,진욱이의 농장,0,2.19
1465,배열 고치기,0,1.17
1466,그림 고치기,0,2.33
1468,네트워크,0,2.0
1470,올림픽 게임,0,7.15
1472,전화번호,0,3.0
1478,정사각형,0,2.6
1481,숌 사각형,0,2.0
1483,저항,0,3.5
1496,기타 고르기,0,3.75
1499,뒤집기 수열,0,2.75
1502,숫자 퍼즐 ≤ 8,0,4.62
1510,이등변 삼각형,0,2.25
1511,숫자 만들기,0,5.67
1530,금민수의 합,0,1.44
1534,다각형 자르기,0,2.5
1537,새로운 연산자,0,2.75
1542,체스 연습,0,2.8
1552,도미노,0,2.0
1556,도미노2,0,4.33
1558,그림의 개수,0,6.5
1567,모든 사이클의 길이,0,3.0
1570,오세준,0,2.67
1571,단어 굴리기,0,2.25
1576,DNA점수,0,3.33
1578,세계 정복,0,1.8
1579,보물 찾기,0,2.0
1583,이동호의 트럭,0,4.0
1586,목장,0,2.5
1589,레이저,0,9.0
1596,영식함수,0,2.22
1597,아스키 아트,0,1.0
1610,프로게이머 영식,0,5.33
1611,강강술래,0,1.86
1618,구역 나누기,0,2.33
1619,점 고르기,0,2.0
1638,컨벡스 헐,0,3.17
1641,삼각형 개수 세기,0,1.2
1651,숌 코드,0,10.0
1656,덜컹덜컹,0,1.2
1661,다솜이의 신발가게,0,4.91
1664,주민등록번호,0,2.25
1674,성준이와 초콜릿,0,3.0
1678,기차,0,5.67
1682,돌리기,0,4.0
1683,책장 맨 윗칸,0,8.4
1690,순열,0,2.73
1696,색 막대,0,2.75
1698,보안 패널,0,5.67
1705,컵,0,2.0
1716,Polynomial Remains,0,1.0
1732,레이저,0,4.73
1768,Center of symmetry,0,1.0
1775,ASCII Labyrinth,0,1.0
1776,깜짝 선물,0,15.0
1778,Ubiquitous Religions,0,1.0
1779,Text Formalization,0,12.0
1782,거울 숫자,0,10.09
1784,팰린드롬 인코딩,0,2.0
1791,Queuing at the doctors,0,1.0
1803,무술 연습,0,2.97
1807,척 노리스,0,1.75
1808,숌작업,0,1.0
1809,성냥 팔이 소녀 숌,0,3.25
1811,Adjacent Mastermind,0,1.0
1815,방송국,0,1.2
1819,불끄기,0,2.0
1820,Partitioning for fun and profit,0,1.0
1831,과수원,0,5.0
1844,농지 정리,0,1.4
1845,배열 회전,0,1.0
1847,볼록다각형 만들기,0,4.22
1869,육각형,0,2.0
1870,지붕 제작,0,2.0
1872,로마 숫자,0,7.0
1877,끔찍한 수열,0,2.75
1880,Big Brother,0,2.0
1881,공 바꾸기,0,1.67
1882,분수 찾기,0,3.8
1888,곰팡이,0,2.57
1889,선물 교환,0,1.0
1896,파급효과,0,1.09
1899,월드인의 공부 스타일,0,2.0
1906,자리 바꾸기,0,1.0
1921,트리와 쿼리 20,0,1.0
1928,게임고안,0,1.67
1950,지도,0,4.67
1968,우체부,0,2.5
1971,High Spies,0,1.0
1973,버스 노선,0,14.0
1995,폐쇄회로,0,2.8
1998,이미지 압축,0,5.94
2000,책장제작,0,3.92
2025,나이트투어,0,16.0
2027,가장 큰L,0,2.8
2030,Burger King,0,1.0
2035,증가수열,0,1.82
2039,뱀 찾기,0,4.0
2040,수 게임,0,1.0
2043,수 묶기,0,3.78
2053,반직선,0,5.83
2059,작업 순서,0,5.5
2062,곱하기 게임,0,7.33
2067,엘리베이터,0,5.22
2068,자전거 경주,0,1.0
2084,차수열,0,1.15
2085,진법,0,5.4
2088,트리의 개수,0,1.93
2100,감시 로봇,0,4.89
2101,이미지의 에너지,0,2.67
2106,흑염소 감금하기,0,1.29
2114,동물원 우리,0,2.0
2119,프로그래밍 언어 L,0,8.0
2120,셋이 놀기,0,4.0
2124,블록 쌓기,0,3.0
2127,Limit Checking,0,1.5
2129,드라이브 파이널,0,2.5
2131,로봇 명령,0,2.25
2134,창고 이전,0,3.0
2144,울타리 넘기,0,1.0
2147,자리 배치하기,0,1.67
2175,땅 자르기,0,1.64
2177,급료 계산,0,4.0
2181,Walking the dog,0,1.0
2198,버스와 손님,0,4.75
2202,Custom table sorter,0,1.5
2219,보안 시스템 설치,0,2.69
2221,작업 공정,0,1.0
2223,금화,0,3.21
2227,Checking Causality,0,1.0
2235,GPS Encoding,0,1.0
2249,Olympic Ranking,0,1.0
2259,두더지 잡기,0,4.1
2260,핵폭탄,0,1.0
2265,거짓말쟁이,0,3.0
2267,Bus Timetable,0,1.0
2269,Prevtree,0,1.0
2274,Conflicting Strings,0,1.0
2277,금고 털기,0,5.0
2280,정사각형과 점,0,1.5
2284,레이스,0,7.75
2286,비선형 수열,0,1.0
2288,격자의 분리자,0,1.0
2297,직각 이등변 삼각형,0,1.67
2299,수식 계산,0,1.5
2314,이세계 게임,0,1.4
2317,결혼식,0,3.84
2318,상사 찾기,0,2.33
2319,문자열 복원하기,0,2.4
2327,말아톤,0,2.39
2332,전화번호,0,1.33
2333,생존과 탈출,0,1.5
2335,농부,0,3.0
2340,이진 수열 회전,0,3.13
2345,지뢰 제거,0,1.5
2349,무선 통신 기지국,0,1.33
2353,오타,0,3.0
2359,드라이브,0,1.0
2360,Teleport,0,1.5
2362,탈출,0,1.0
2363,약수부분수열,0,2.5
2366,이진트리 그리기,0,3.0
2371,파일 구별하기,0,2.06
2378,불필요한 수,0,1.9
2382,키워드 매칭,0,10.0
2383,Ferries,0,1.0
2384,I’m a Frayed Knot,0,1.0
2394,드라이브 투어,0,3.5
2395,순열의 개수,0,5.6
2397,보이는 정사각형,0,4.07
2402,거짓말,0,2.25
2404,단위 분수로 분할,0,1.71
2409,파이프 자르기,0,35.33
2425,레고,0,3.0
2434,점 연결하기,0,2.78
2462,보도블록,0,1.0
2510,어려운 매췽,0,1.0
2521,팬케이크 사랑 2,0,1.5
2537,점핑 사다리,0,2.2
2545,팬케익 먹기,0,3.13
2555,생일 출력하기 STANDARD,0,1.89
2556,별 찍기 - 14 STANDARD,0,1.86
2603,고속버스 노선,0,5.0
2614,청개구리,0,47.0
2683,황금 천장,0,2.0
2700,볼록 격자 다각형의 내부점,0,2.23
2701,육각 퍼즐,0,2.08
2706,문자 보내기,0,2.75
2707,노말 정렬,0,6.08
2715,상범 마법 팬케이크 하우스,0,1.5
2717,Model Rocket Height,0,1.0
2719,공간 개념 테스트,0,1.25
2722,Shuffle’m Up,0,2.0
2732,Kindergarten Graduation,0,1.0
2734,드럼통 쌓기,0,1.47
2735,No Fold’em Hold’em,0,1.0
2736,모형 로켓 발사,0,1.0
2760,마술사 현우,0,1.0
2762,구역 채우기,0,1.0
2763,Histology Assistant,0,1.0
2766,사탕 나누기 게임,0,1.38
2768,세금 계산,0,1.0
2772,완전히 다양화된 수열,0,1.73
2781,놀이 동산,0,10.6
2788,스타트업,0,9.44
2833,나이트,0,5.33
2834,박스 정렬,0,3.07
2835,인기도 조사,0,2.09
2838,비숍 낙서,0,1.0
2856,동규가 설치한 그림판,0,2.5
2868,MONO,0,15.0
2874,검정 직사각형,0,1.67
2883,남극의 과학자,0,2.0
2894,명탐정 홍즈,0,3.27
2895,그렘린,0,2.0
2901,CHUCK,0,4.71
2913,동혁 천문 관측소,0,1.0
2918,Arrange,0,1.0
2926,비례대표,0,1.0
2932,표 회전,0,2.67
2945,사과의 개수,0,2.0
2952,주기율표,0,1.71
2970,두더지,0,2.62
2973,TAMNICA,0,3.05
2996,큐브 모으기,0,2.83
3016,Clustering,0,2.6
3021,원형 자갈,0,5.6
3064,Minesweeper,0,1.95
3065,Tournament,0,2.0
3081,프로세서 디자인,0,2.6
3082,아름다운 제도,0,4.38
3084,FPS,0,6.4
3087,상근일,0,1.9
3093,새 게임,0,3.33
3094,강아지 기다리기,0,1.0
3096,영화제,0,4.22
3104,쿠키,0,2.75
3105,벽 쌓기,0,14.0
3106,월급 인상,0,3.5
3112,쥐덫,0,4.5
3115,꽃,0,1.0
3118,과학자,0,22.5
3120,PODJELA,0,2.5
3124,공원 산책,0,2.0
3125,GONDOR,0,2.0
3126,반역의 원철이,0,6.4
3127,JEZERO,0,3.5
3129,상범이의 은밀한 메세지,0,1.64
3130,붙인드롬,0,1.83
3132,구조조정,0,2.0
3134,A Standard Problem,0,1.67
3138,STUPOVI,0,1.57
3140,GULIVER,0,4.0
3141,폭발하는 공,0,1.0
3143,울타리를 치자!,0,1.5
3145,지리지도,0,1.46
3146,SLIKA,0,2.33
3147,LIJEN,0,1.0
3149,MRAVOGRAD,0,1.0
3150,NOGA,0,1.0
3152,예쁜 숫자,0,4.11
3155,터널,0,2.92
3156,노래,0,1.4
3157,osmo,0,9.0
3158,Sierpinski 삼각형,0,2.56
3160,24 성냥개비 퍼즐,0,1.75
3162,turbo,0,8.0
3170,grad,0,3.25
3171,크레인,0,3.0
3177,크로아티아 수 읽기,0,15.0
3178,코코스,0,4.23
3179,삼각형,0,3.78
3180,바나나,0,2.11
3188,nule,0,2.67
3191,autoput,0,2.25
3193,공,0,3.27
3195,ribari,0,2.25
3196,utrka,0,1.0
3198,nagibni,0,1.0
3199,ABCD,0,2.0
3200,xl,0,1.5
3201,vid,0,1.0
3202,papir,0,1.0
3209,gumbi,0,1.0
3210,piloti,0,2.62
3227,MO,0,2.0
3228,극한 피자 배달,0,1.25
3229,LIFTOVI,0,1.0
3230,"금메달, 은메달, 동메달은 누가?",0,1.09
3233,BRODOVI,0,1.0
3245,거리,0,3.8
3246,SLALOM,0,1.67
3247,A1,0,1.0
3250,VOKITOKI,0,1.0
3255,WINDOWS,0,2.33
3256,비행기,0,6.0
3262,BUHA,0,1.0
3263,LIGNJA,0,1.25
3269,PARKING,0,4.33
3272,SAFE,0,2.33
3302,Job Scheduling,0,1.0
3313,The Alliances,0,1.0
3314,An Arithmetic Rectangle,0,1.0
3317,PIN,0,1.0
3320,사진,0,1.75
3322,정렬의 시간복잡도,0,1.2
3324,Dominance,0,1.0
3325,Information,0,1.0
3326,Knights,0,1.0
3327,Fence,0,1.0
3328,Choosing Orders and Renting Machines,0,1.0
3329,Ministry,0,1.0
3330,Nasty Calculations,0,1.0
3331,Airport Show,0,1.0
3332,Royal treasury,0,1.0
3338,Depot Rearrangement,0,1.0
3339,Mobile Service,0,1.0
3342,Lanterns,0,1.0
3359,사각 사각,0,1.29
3361,Handshakes,0,2.29
3362,수수께끼,0,1.0
3383,Submarines,0,1.0
3385,Speed Limits,0,1.0
3386,테니스 클럽,0,2.0
3388,L Game,0,1.0
3389,Moving Robots,0,1.0
3416,Boring Card Game,0,4.0
3422,Vigenère Cipher Analysis,0,1.0
3423,The Grille,0,1.09
3436,Strange Billboard,0,1.25
3438,Hexagonal Parcels,0,1.0
3439,Key Task,0,3.0
3441,Weird Numbers,0,2.0
3442,직각 다각형,0,2.86
3445,Tough Water Level,0,1.0
3446,Ants,0,1.0
3450,Desperate Electrician,0,1.0
3452,Bundling,0,1.0
3453,Shortcut,0,2.5
3454,Dice Contest,0,1.0
3455,November Rain,0,1.67
3456,축구공,0,1.0
3457,Which is Next,0,2.0
3458,Hang or not to hang,0,1.0
3463,Calendar of Maya,0,1.0
3466,Choir,0,1.0
3468,Horizontally Visible Segments,0,3.0
3470,The Bulk,0,1.0
3471,Complete the sequence!,0,1.0
3472,Direct Visibility,0,1.0
3475,The Game of Master-Mind,0,1.0
3478,Run Away,0,2.4
3479,Equipment Box,0,1.0
3480,Secret Code,0,1.0
3481,The Proper Key,0,1.0
3484,Lifting the Stone,0,1.0
3485,Play on Words,0,4.5
3488,Substitution Cipher,0,1.0
3489,Commedia dell' arte,0,1.0
3491,Skyscraper Floors,0,1.0
3493,Hares and Foxes,0,1.0
3494,Invitation Cards,0,2.0
3496,Binary Encoding,0,1.18
3500,Flights,0,3.0
3502,Huzita Axiom 6,0,1.0
3504,Journey,0,1.0
3506,Lanes,0,14.0
3509,Cube Coloring,0,1.0
3519,계산왕 연산군,0,1.2
3521,Dome of Circus,0,1.0
3522,Evacuation Plan,0,3.57
3542,Database,0,1.14
3544,Funny Language,0,1.0
3545,Garbling Game,0,1.0
3547,Inspection,0,1.4
3548,Java Certification,0,2.13
3549,K-equivalence,0,1.2
3561,Aerodynamics,0,1.0
3562,Clock,0,1.0
3563,Finding Liars,0,1.33
3564,Exclusive Access,0,1.0
3567,Hell on the Markets,0,1.0
3569,Javanese Cryptoanalysis,0,1.0
3570,KINA Is Not Abbreviation,0,2.0
3582,Ants,0,1.0
3583,Building for UN,0,1.0
3585,Diver,0,1.0
3587,Fund Management,0,1.0
3588,Water Main Break,0,1.17
3589,Christmas Gifts,0,2.0
3591,Japanese Writing,0,1.0
3592,Kingdom Partitioning,0,1.0
3598,엘리베이터,0,1.67
3605,Billing Tables,0,1.0
3607,Driving Directions,0,1.0
3608,Exchange,0,1.0
3609,Fool’s Game,0,1.0
3612,Interconnect,0,1.0
3622,어떤 호박의 할로윈 여행,0,2.65
3623,상범이의 액자,0,1.0
3626,Guards,0,1.0
3627,Hardwood Cutting,0,1.0
3628,Knockdown,0,1.0
3629,Astronomy,0,1.0
3641,호프집 선택,0,5.57
3642,자전거,0,1.0
3643,디지털 시계,0,3.92
3646,경비원,0,1.86
3647,흥미로운 집합,0,1.0
3650,암호 해독,0,2.91
3655,먼저 가세요,0,1.45
3660,열차 지연,0,2.75
3662,보석 분배,0,4.5
3664,언덕,0,3.0
