id,name,information,correct_user,submission_cnt,correct_rate,수학,다이나믹 프로그래밍,구현,그래프 이론,자료 구조,그리디 알고리즘,문자열,그래프 탐색,브루트포스 알고리즘,세그먼트 트리,트리,정렬,이분 탐색,기하학,정수론,너비 우선 탐색,조합론,사칙연산,누적 합,깊이 우선 탐색,다익스트라,시뮬레이션,비트마스킹,분리 집합,백트래킹,분할 정복,애드 혹,구성적,스위핑,트리에서의 다이나믹 프로그래밍,최대 유량,스택,우선순위 큐,Case work,파싱,느리게 갱신되는 세그먼트 트리,두 포인터,비트필드를 이용한 다이나믹 프로그래밍,트리를 사용한 집합과 맵,소수 판정,게임 이론,분할 정복을 이용한 거듭제곱,오프라인 쿼리,이분 매칭,최소 스패닝 트리,임의 정밀도 / 큰 수 연산,최소 공통 조상,재귀,해싱,에라토스테네스의 체,강한 연결 요소,해시를 사용한 집합과 맵,플로이드–와샬,고속 푸리에 변환,위상 정렬,볼록 껍질,선형대수학,트라이,포함 배제의 원리,값 / 좌표 압축,볼록 껍질을 이용한 최적화,KMP,최소 비용 최대 유량,접미사 배열과 LCP 배열,제곱근 분할법,배낭 문제,희소 배열,덱,스프라그–그런디 정리,작은 집합에서 큰 집합으로 합치는 테크닉,확률론,유클리드 호제법,Heavy-light 분할,선분 교차 판정,가장 긴 증가하는 부분 수열: O(n log n),중간에서 만나기,런타임 전의 전처리,매개 변수 탐색,오일러 경로 테크닉,2-SAT,센트로이드 분할,무작위화,슬라이딩 윈도우,미적분학,휴리스틱,가우스 소거법,퍼시스턴트 세그먼트 트리,삼분 탐색,최대 유량 최소 컷 정리,3차원 기하학,단절점과 단절선,선인장,큐,오일러 경로,분할 정복을 사용한 최적화,비트 집합,중국인의 나머지 정리,Mo's,병렬 이분 탐색,오일러 지표 (χ=V-E+F),벨만–포드,스플레이 트리,다차원 세그먼트 트리,평면 그래프,아호-코라식,벌래캠프–매시,순열 사이클 분할,확장 유클리드 호제법,회전하는 캘리퍼스,물리학,머지 소트 트리,페르마의 소정리,라빈–카프,이중 연결 요소,뫼비우스 반전 공식,정규 표현식,링크/컷 트리,커넥션 프로파일을 이용한 다이나믹 프로그래밍,덱을 이용한 다이나믹 프로그래밍,매내처,오일러 피 함수,0-1 너비 우선 탐색,볼록 다각형 내부의 점 판정,수치해석,외판원 순회 문제,함수 개형을 이용한 최적화,연결 리스트,Alien 트릭,인터프리터,다각형의 넓이,오프라인 동적 연결성 판정,폴라드 로,선형 계획법,번사이드 보조정리,밀러–라빈 소수 판별법,오목 다각형 내부의 점 판정,트리 동형 사상,모듈로 곱셈 역원,기댓값의 선형성,홀의 결혼 정리,헝가리안,키타마사,이산 로그,최소 외접원,피타고라스 정리,Z,도미네이터 트리,단조 큐를 이용한 최적화,쌍대성,일반적인 매칭,회문 트리,스토어–바그너,크누스 최적화,매트로이드,뤼카 정리,쌍대 그래프,양방향 탐색,유향 최소 신장 트리,보로노이 다이어그램,이산 제곱근,보이어–무어 다수결 투표,히르쉬버그,통계학,델로네 삼각분할,4차원 이상의 기하학,로프,춤추는 링크,크누스 X,접미사 트리,레드-블랙 트리,탑 트리,이산 k제곱근,algo_cnt
1000,A+B,"다국어,디버그,분류",118169,381174,43.753,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1001,A-B,"디버그,분류",97109,159168,72.049,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1002,터렛,분류,16141,105843,20.562,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1003,피보나치 함수,분류,23293,113982,30.087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1004,어린 왕자,분류,6503,19933,41.555,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1005,ACM Craft,분류,5419,42156,22.208,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1006,습격자 초라기,분류,800,9281,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1007,벡터 매칭,"스페셜 저지,분류",1092,4428,36.473,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1008,A/B,"스페셜 저지,분류",67564,248349,33.473,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1009,분산처리,분류,8053,43098,25.36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
