number,name,correct_user,submission_cnt,correct_rate,level,avg_try
1000,A+B,118169,381174,43.753,1,2.29
1001,A-B,97109,159168,72.04899999999999,1,1.39
1002,터렛,16141,105843,20.561999999999998,7,4.86
1003,피보나치 함수,23293,113982,30.087,8,3.32
1004,어린 왕자,6503,19933,41.555,8,2.41
1005,ACM Craft,5419,42156,22.208000000000002,13,4.5
1006,습격자 초라기,800,9281,17.0,18,5.88
1007,벡터 매칭,1092,4428,36.473,14,2.74
1008,A/B,67564,248349,33.473,2,2.99
1009,분산처리,8053,43098,25.36,3,3.94
1010,다리 놓기,12052,32538,48.505,6,2.06
1011,Fly me to the Alpha Centauri,11891,53343,29.487,10,3.39
1012,유기농 배추,17642,69583,35.736,9,2.8
1013,Contact,1440,5612,33.946,11,2.95
1014,컨닝,912,4605,40.624,17,2.46
1015,수열 정렬,2371,6480,46.978,7,2.13
1016,제곱 ㄴㄴ 수,3657,32496,19.781,15,5.06
1017,소수 쌍,981,6779,20.344,18,4.92
1018,체스판 다시 칠하기,13498,36017,46.412,6,2.15
1019,책 페이지,1733,8863,36.5,15,2.74
1020,디지털 카운터,251,2145,24.584,19,4.07
1021,회전하는 큐,7715,18383,52.39,7,1.91
1022,소용돌이 예쁘게 출력하기,1631,8325,28.449,12,3.52
1023,괄호 문자열,336,1669,34.675,18,2.88
1024,수열의 합,2350,12642,24.958000000000002,9,4.01
1025,제곱수 찾기,323,1535,27.773000000000003,10,3.6
1026,보물,12403,24455,62.521,7,1.6
1027,고층 건물,887,3552,33.662,12,2.97
1028,다이아몬드 광산,560,3930,25.878,16,3.85
1029,그림 교환,508,2763,25.605,15,3.91
1030,프렉탈 평면,258,905,40.566,13,2.47
1031,스타 대결,215,1936,18.22,21,5.49
1032,명령 프롬프트,7116,16995,50.59,5,1.98
1033,칵테일,232,1649,22.678,14,4.41
1034,램프,611,2478,34.268,11,2.92
1035,조각 움직이기,256,897,44.443999999999996,15,2.25
1036,36진수,272,2260,18.541,15,5.39
1037,약수,10185,23796,49.836000000000006,6,2.01
1038,감소하는 수,2760,13038,30.273000000000003,11,3.3
1039,교환,993,6863,20.208,13,4.95
1040,정수,168,1346,22.888,19,4.37
1041,주사위,1210,6659,22.646,10,4.42
1042,움,41,228,32.54,20,3.07
1043,거짓말,1564,5893,35.789,12,2.79
1044,팀 선발,128,1398,14.302,18,6.99
1045,도로,94,597,21.51,15,4.65
1046,그림자,34,298,21.935,23,4.56
1047,울타리,71,497,29.831999999999997,15,3.35
1048,유니콘,74,378,31.76,17,3.15
1049,기타줄,3786,13982,32.265,7,3.1
1050,물약,63,1244,10.032,15,9.97
1051,숫자 정사각형,2944,9511,37.365,8,2.68
1052,물병,573,2168,35.745,10,2.8
1053,팰린드롬 공장,182,780,30.233,14,3.31
1054,팰린드롬 문장,45,266,34.091,21,2.93
1055,끝이없음,63,700,22.662,18,4.41
1056,수,60,625,18.809,20,5.32
1057,토너먼트,5556,12278,55.677,8,1.8
1058,친구,1291,4376,37.205,10,2.69
1059,좋은 구간,1080,5229,25.924,6,3.86
1060,좋은 수,62,679,15.122,13,6.61
1061,삼각형,26,180,24.299,23,4.12
1062,가르침,2900,18057,24.516,12,4.08
1063,킹,1631,6279,32.176,6,3.11
1064,평행사변형,546,2406,30.709,6,3.26
1065,한수,29974,68029,51.983999999999995,7,1.92
1066,에이한수,31,91,77.5,19,1.29
1067,이동,403,1973,47.636,19,2.1
1068,트리,4016,21166,25.836,10,3.87
1069,집으로,288,2279,19.539,14,5.12
1070,김지민의 침략,39,224,24.684,20,4.05
1071,소트,259,1425,29.736,16,3.36
1072,게임,2574,17398,21.218000000000004,8,4.71
1073,도미노,71,193,49.306000000000004,17,2.03
1074,Z,6712,27969,37.025999999999996,10,2.7
1075,나누기,4341,9283,55.597,4,1.8
1076,저항,5593,16456,40.019,4,2.5
1077,넓이,52,495,16.938,20,5.9
1078,뒤집음,49,1062,12.727,20,7.86
1079,마피아,271,2180,17.597,14,5.68
1080,행렬,3203,10423,39.171,9,2.55
1081,합,364,2132,37.41,14,2.67
1082,방 번호,314,1634,26.254,12,3.81
1083,소트,356,2068,29.519000000000002,13,3.39
1084,방 번호 2,35,533,12.456,20,8.03
1085,직사각형에서 탈출,17341,33508,58.193000000000005,3,1.72
1086,박성원,672,4078,23.171999999999997,16,4.32
1087,쥐 잡기,145,954,19.648,17,5.09
1088,케이크,60,483,27.273000000000003,19,3.67
1089,스타트링크 타워,264,1758,21.711,11,4.61
1090,체커,53,222,48.181999999999995,17,2.08
1091,카드 섞기,167,889,33.333,11,3.0
1092,배,1020,6110,25.086,11,3.99
1093,스티커 수집,64,485,18.991,18,5.27
1094,막대기,9176,14678,74.054,6,1.35
1095,마법의 구슬,65,656,22.337,15,4.48
1096,종이 접기,33,248,27.965999999999998,18,3.58
1097,마법의 단어,132,531,35.676,16,2.8
1098,쌍둥이 마을,21,217,26.581999999999997,20,3.76
1099,알 수 없는 문장,264,1512,28.726999999999997,13,3.48
1100,하얀 칸,8113,13997,68.53399999999999,4,1.46
1101,스티커 정리 1,32,121,39.506,15,2.53
1102,발전소,1348,8666,22.936999999999998,15,4.36
1103,게임,1192,8802,19.09,15,5.24
1104,패턴,15,217,10.714,15,9.33
1105,팔,612,2289,33.37,9,3.0
1106,호텔,383,2015,27.754,9,3.6
1107,리모컨,6752,42560,22.36,11,4.47
1108,검색 엔진,135,959,18.17,18,5.5
1109,섬,56,414,23.045,17,4.34
1110,더하기 사이클,44365,111142,48.021,5,2.08
1111,IQ Test,750,6443,16.674,14,6.0
1112,진법 변환,90,345,32.609,14,3.07
1113,수영장 만들기,436,2223,29.028000000000002,15,3.45
1114,통나무 자르기,348,2837,18.59,15,5.38
1115,순열,75,443,42.857,15,2.33
1116,순열 2,19,94,27.941,19,3.58
1117,색칠 1,78,492,25.574,10,3.91
1118,색칠 2,7,27,26.923000000000002,19,3.71
1119,그래프,20,93,29.412,15,3.4
1120,문자열,4800,10692,52.574,7,1.9
1121,도형,65,451,23.381,18,4.28
1122,뒤집기,42,448,21.105999999999998,18,4.74
1123,셔플,8,28,61.538000000000004,22,1.63
1124,언더프라임,629,2094,40.424,8,2.47
