number,time_limit,memory_limit,submission_cnt,answer_cnt,correct_user_cnt,answer_rate
1000,2 초,128 MB,383131,163788,118678,43.743%
1001,2 초,128 MB,159820,112223,97502,72.056%
1002,2 초,128 MB,106189,20605,16191,20.558%
1003,0.25 초 (추가 시간 없음),128 MB,114308,29761,23381,30.099%
1004,2 초,128 MB,20001,7967,6516,41.572%
1005,1 초,512 MB,42292,8383,5451,22.257%
1006,2 초,512 MB,9312,1201,803,17.031%
1007,2 초,512 MB,4437,1538,1095,36.464%
1008,2 초,128 MB,249535,78198,67912,33.493%
1009,1 초,128 MB,43267,10288,8082,25.304%
1010,0.5 초 (추가 시간 없음),128 MB,32706,14859,12116,48.472%
1011,2 초,512 MB,53559,15084,11941,29.495%
1012,1 초,512 MB,69945,26138,17723,35.718%
1013,2 초,512 MB,5639,1891,1448,34.007%
1014,2 초,512 MB,4611,1347,915,40.667%
1015,2 초,128 MB,6490,2765,2376,46.984%
1016,2 초,512 MB,32583,5487,3672,19.804%
1017,2 초,128 MB,6784,1355,983,20.373%
1018,2 초,128 MB,36224,16545,13565,46.394%
1019,2 초,128 MB,8873,2209,1735,36.526%
1020,2 초,128 MB,2154,307,252,24.490%
1021,2 초,128 MB,18456,9385,7754,52.388%
1022,2 초,128 MB,8328,2192,1632,28.462%
1023,2 초,128 MB,1673,439,337,34.671%
1024,2 초,128 MB,12655,2877,2354,24.981%
1025,2 초,128 MB,1543,407,325,27.754%
1026,2 초,128 MB,24486,14486,12419,62.517%
1027,2 초,128 MB,3566,1080,891,33.724%
1028,0.75 초,128 MB,3942,829,563,25.897%
1029,2 초,128 MB,2777,679,512,25.638%
1030,2 초,128 MB,907,371,259,40.596%
1031,2 초,128 MB,1937,284,216,18.290%
1032,2 초,128 MB,17033,8339,7136,50.624%
1033,2 초,128 MB,1649,288,232,22.678%
1034,2 초,128 MB,2486,740,613,34.246%
1035,2 초,512 MB,898,353,256,44.444%
1036,2 초,128 MB,2271,451,272,18.541%
1037,2 초,512 MB,23918,11686,10238,49.803%
1038,1 초,512 MB,13133,3476,2771,30.297%
1039,2 초,128 MB,6871,1303,995,20.170%
1040,2 초,128 MB,1348,199,168,22.888%
1041,2 초,128 MB,6679,1449,1215,22.647%
1042,2 초,128 MB,228,78,41,32.540%
1043,2 초,128 MB,5936,1897,1578,35.847%
1044,2 초,128 MB,1398,188,128,14.302%
1045,2 초,128 MB,608,136,97,21.700%
1046,2 초,128 MB,298,69,34,21.935%
1047,2 초,128 MB,497,98,71,29.832%
1048,2 초,128 MB,378,92,74,31.760%
1049,2 초,128 MB,13989,4462,3789,32.274%
1050,2 초,128 MB,1244,91,63,10.032%
1051,2 초,128 MB,9525,3481,2951,37.388%
1052,1 초,512 MB,2180,755,578,35.812%
1053,2 초,128 MB,780,224,182,30.233%
1054,2 초,128 MB,266,63,45,34.091%
1055,2 초,128 MB,700,83,63,22.662%
1056,2 초,128 MB,625,93,60,18.809%
1057,1 초,512 MB,12299,6617,5568,55.702%
1058,2 초,128 MB,4405,1579,1296,37.167%
1059,2 초,128 MB,5248,1233,1084,25.952%
1060,2 초,128 MB,679,66,62,15.122%
1061,2 초,128 MB,180,35,26,24.299%
1062,1 초,128 MB (하단 참고),18274,4866,2922,24.425%
1063,2 초,128 MB,6303,1949,1637,32.155%
1064,2 초,128 MB,2408,656,547,30.730%
1065,2 초,128 MB,68257,35435,30077,51.999%
1066,2 초,128 MB,91,43,31,77.500%
1067,1 초,512 MB,1978,728,406,47.821%
1068,2 초,128 MB,21222,5126,4031,25.856%
1069,2 초,128 MB,2300,399,289,19.435%
1070,2 초,128 MB,225,59,40,25.157%
1071,2 초,128 MB,1427,331,260,29.817%
1072,2 초,128 MB,17494,3625,2590,21.167%
1073,2 초,128 MB,193,85,71,49.306%
1074,0.5 초 (추가 시간 없음),512 MB,28090,9099,6744,37.006%
1075,2 초,128 MB,9306,4869,4350,55.548%
1076,2 초,128 MB,16508,6542,5605,39.996%
1077,2 초,128 MB,502,110,53,16.879%
1078,2 초,128 MB,1062,90,49,12.727%
1079,2 초,128 MB,2199,448,272,17.447%
1080,2 초,128 MB,10467,4024,3218,39.182%
1081,2 초,128 MB,2141,431,365,37.474%
1082,2 초,128 MB,1652,403,316,26.094%
1083,2 초,128 MB,2070,470,356,29.519%
1084,2 초,128 MB,533,40,35,12.456%
1085,2 초,128 MB,33696,19397,17430,58.193%
1086,2 초,128 MB,4084,995,672,23.172%
1087,2 초,128 MB,961,223,146,19.703%
1088,2 초,128 MB,483,82,60,27.273%
1089,2 초,128 MB,1753,420,264,21.746%
1090,2 초,128 MB,225,77,55,48.673%
1091,2 초,128 MB,913,260,172,32.887%
1092,2 초,128 MB,6155,1384,1029,25.104%
1093,2 초,128 MB,485,90,64,18.991%
1094,2 초,128 MB,14713,10625,9196,74.054%
1095,2 초,128 MB,656,79,65,22.337%
1096,2 초,128 MB,248,43,33,27.966%
1097,2 초,512 MB,531,198,132,35.676%
1098,2 초,128 MB,217,29,21,26.582%
1099,2 초,128 MB,1512,419,264,28.727%
1100,2 초,128 MB,14025,9264,8131,68.558%
1101,2 초,128 MB,121,43,32,39.506%
1102,2 초,128 MB,8690,2034,1351,22.933%
1103,2 초,512 MB,8830,1745,1196,19.118%
1104,2 초,128 MB,217,21,15,10.714%
1105,2 초,512 MB,2294,735,613,33.406%
1106,2 초,128 MB,2030,507,387,27.623%
1107,2 초,256 MB,42725,9928,6772,22.365%
1108,2 초,128 MB,961,179,136,18.280%
1109,2 초,128 MB,414,79,56,23.045%
1110,2 초,128 MB,111602,52912,44563,48.021%
1111,2 초,128 MB,6455,947,752,16.681%
1112,2 초,128 MB,349,98,91,32.500%
1113,2 초,128 MB,2231,715,440,29.139%
1114,2 초,128 MB,2837,567,348,18.590%
1115,2 초,128 MB,445,85,77,43.258%
1116,2 초,128 MB,94,21,19,27.941%
1117,2 초,128 MB,496,100,79,25.566%
1118,2 초,128 MB,27,7,7,26.923%
1119,2 초,128 MB,93,25,20,29.412%
1120,2 초,128 MB,10725,5509,4813,52.584%
1121,2 초,128 MB,451,104,65,23.381%
1122,2 초,128 MB,448,66,42,21.106%
1123,2 초,128 MB,34,7,7,58.333%
1124,2 초,128 MB,2099,834,630,40.281%
1125,2 초,128 MB,158,12,11,14.865%
1126,2 초,512 MB,5808,1535,937,23.668%
1127,2 초,128 MB,84,35,28,57.143%
1128,2 초,128 MB,654,95,65,18.258%
1129,2 초,128 MB,138,22,22,34.921%
1130,2 초,128 MB,26,4,4,16.667%
1131,2 초,128 MB,434,185,58,24.576%
1132,2 초,128 MB,1800,385,318,22.977%
1133,2 초,128 MB,120,11,10,24.390%
1134,2 초,128 MB,63,10,9,47.368%
1135,2 초,128 MB,1564,576,480,39.024%
1136,2 초,128 MB,34,6,6,22.222%
1137,2 초,128 MB,27,9,9,47.368%
1138,2 초,128 MB,6421,3454,2920,55.992%
1139,2 초,128 MB,213,49,35,31.818%
1140,2 초,128 MB,734,23,14,13.592%
1141,2 초,128 MB,421,181,150,44.248%
1142,2 초,128 MB,94,13,11,17.742%
1143,2 초,128 MB,146,15,15,33.333%
1144,2 초,128 MB,297,65,38,25.676%
1145,2 초,128 MB,2909,1676,1511,59.441%
1146,2 초,128 MB,956,416,302,42.535%
1147,2 초,128 MB,119,19,17,31.481%
1148,1 초,128 MB,143,51,37,38.144%
1149,0.5 초 (추가 시간 없음),128 MB,57791,27737,20707,48.092%
1150,2 초,128 MB,1290,254,186,25.410%
1151,2 초,128 MB,15,7,5,41.667%
